"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 30 17:06:55 GMT 2024","Thu May 30 17:06:55 GMT 2024","131","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectWithSameNameInDifferentParentsShouldBeAvailable","creatingProjectWithSameNameInDifferentParentsShouldBeAvailable","Creating project with same name in different parents should be available"
"passed","Thu May 30 17:06:56 GMT 2024","Thu May 30 17:06:56 GMT 2024","51","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectsWithSameNameShouldNotBeAvailable","creatingProjectsWithSameNameShouldNotBeAvailable","Creating projects with same name should not be available"
"passed","Thu May 30 17:06:51 GMT 2024","Thu May 30 17:06:51 GMT 2024","169","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithEmptyIdShouldNotBeAvailable","creatingBuildConfigurationWithEmptyIdShouldNotBeAvailable","Creating build configuration with empty id should not be available"
"passed","Thu May 30 17:06:57 GMT 2024","Thu May 30 17:06:57 GMT 2024","223","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","Project admin should not have rights to create build config to another project"
"passed","Thu May 30 17:06:51 GMT 2024","Thu May 30 17:06:51 GMT 2024","125","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithEmptyNameShouldNotBeAvailable","creatingBuildConfigurationWithEmptyNameShouldNotBeAvailable","Creating build configuration with empty name should not be available"
"passed","Thu May 30 17:06:58 GMT 2024","Thu May 30 17:06:58 GMT 2024","49","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject","Unauthorized user should not have rights to create project"
"passed","Thu May 30 17:06:52 GMT 2024","Thu May 30 17:06:52 GMT 2024","178","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithSameIdShouldNotBeAvailable","creatingBuildConfigurationWithSameIdShouldNotBeAvailable","Creating build configuration with same id should not be available"
"passed","Thu May 30 17:04:26 GMT 2024","Thu May 30 17:05:20 GMT 2024","54699","Surefire suite","Surefire test","com.example.teamcity.setup.TeamcitySetupTest","com.example.teamcity.setup.TeamcitySetupTest","startUpTest","startUpTest","Startup TeamCity server and accept license"
"passed","Thu May 30 17:06:52 GMT 2024","Thu May 30 17:06:52 GMT 2024","179","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","creatingBuildConfigurationWithSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available"
"passed","Thu May 30 17:06:55 GMT 2024","Thu May 30 17:06:55 GMT 2024","55","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","creatingProjectsWithSameIdShouldNotBeAvailable","creatingProjectsWithSameIdShouldNotBeAvailable","Creating projects with same id should not be available"
"passed","Thu May 30 17:07:12 GMT 2024","Thu May 30 17:07:54 GMT 2024","41596","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigurationTest","com.example.teamcity.ui.CreateBuildConfigurationTest","creatingBuildConfigurationShouldBeAvailable","creatingBuildConfigurationShouldBeAvailable","Creating build configuration should be available"
